"category","count"
"Accountant",18
"Accounting firm",11
"Acoustical consultant",1
"Air Compressor Company",1
"Auditor",4
"Aviation consultant",2
"Beverage distributor",1
"Bookkeeping service",5
"Bowling supply shop",1
"Business center",7
"Business development service",1
"Business management consultant",209
"Business networking company",1
"Business to business service",8
"Cement manufacturer",1
"Certified public accountant",16
"Chamber of Commerce",8
"Chartered accountant",6
"Co-working Space",1
"Computer consultant",3
"Computer hardware manufacturer",1
"Computer repair service",1
"Computer support and services",1
"Consultant",18
"Corporate office",5
"Coworking space",1
"Distribution service",1
"Economic consultant",1
"Educational consultant",1
"Electronic parts supplier",1
"Electronics company",1
"Employment agency",1
"Employment center",1
"Employment consultant",1
"Engineering consultant",31
"Engineering school",1
"Environmental consultant",1
"Fabrication engineer",1
"Family law attorney",1
"Federal government office",1
"Food products supplier",2
"Furniture wholesaler",1
"Government office",1
"Graphic designer",1
"Hardware store",1
"Health and beauty shop",1
"Health consultant",2
"Industrial consultant",1
"Industrial equipment supplier",2
"Internet marketing service",7
"Labor relations attorney",1
"Laboratory",1
"Law firm",3
"Lawyer",21
"Learning center",1
"Legal services",6
"Lot 2399, Kampung Ketior Dalam, 33000, Kuala Kangsar, Perak, Malaysia",1
"Manufacturer",1
"Marketing agency",2
"Marketing consultant",10
"Mechanical contractor",1
"Metal fabricator",1
"Moving and storage service",1
"Non-profit organization",1
"Office rental agency",1
"Office space rental agency",1
"Plant nursery",1
"Plastic products supplier",1
"Poultry farm",1
"Process server",1
"Real estate attorney",1
"Real estate developer",2
"Recruiter",2
"Renovation Contractor",1
"Saw mill",1
"Security system supplier",1
"Social security attorney",1
"Software company",9
"Software training institute",1
"Tax consultant",6
"Tax preparation service",1
"Training centre",1
"Transportation service",1
"Warehouse",1
"Website designer",1
