"title","address","category","phone_num","latitude","longitude","link","avg_rating","reviews","website"
"IM BUSINESS SOLUTION","22-2, Jalan Nova K U5/K","Accountant","012-372 0725","3.1771997","101.5459815","https://www.google.com/maps/place/IM+BUSINESS+SOLUTION/data=!4m7!3m6!1s0x31cc4fc63cc458c3:0x8b1aab9406f5a13c!8m2!3d3.1771997!4d101.5459815!16s%2Fg%2F11pwwk1f01!19sChIJw1jEPMZPzDERPKH1BpSrGos?authuser=0&hl=en&rclk=1",,,
"Nlp Accounting & Management Services","12A, Jalan Bumi Aw U5/Aw","Accountant",,"3.169737","101.5344758","https://www.google.com/maps/place/Nlp+Accounting+%26+Management+Services/data=!4m7!3m6!1s0x31cc4fdcef4945b9:0xd18fea2ae275f5a3!8m2!3d3.169737!4d101.5344758!16s%2Fg%2F11fr3kt13w!19sChIJuUVJ79xPzDERo_V14irqj9E?authuser=0&hl=en&rclk=1",,,
"BH Pak Associates","8, Jalan Subang Permai U6/8","Accountant","03-7845 6748","3.14758","101.5259236","https://www.google.com/maps/place/BH+Pak+Associates/data=!4m7!3m6!1s0x31cc4e29e9f8c101:0x2635e44d95723ec0!8m2!3d3.14758!4d101.5259236!16s%2Fg%2F1hc2bj6lp!19sChIJAcH46SlOzDERwD5ylU3kNSY?authuser=0&hl=en&rclk=1",,,
"My Business Services Sdn Bhd","A-10-02, The MET Corporate Towers, 20, Jalan Dutamas 2","Accountant","03-6416 0151","3.1810034","101.6647265","https://www.google.com/maps/place/My+Business+Services+Sdn+Bhd/data=!4m7!3m6!1s0x31cc49d75b1c4359:0x9ab24a4e970adb9e!8m2!3d3.1810034!4d101.6647265!16s%2Fg%2F11fjyw3sx0!19sChIJWUMcW9dJzDERntsKl05Kspo?authuser=0&hl=en&rclk=1","5.0","3","https://www.mybusinessservices.net/"
"U Business Consultancy Sdn. Bhd.","115-1, Jalan Radin Bagus","Accountant","03-9055 3281","3.071109","101.6934892","https://www.google.com/maps/place/U+Business+Consultancy+Sdn.+Bhd./data=!4m7!3m6!1s0x31cc4a8844ff1bfb:0x7ed8f37ec87bc108!8m2!3d3.071109!4d101.6934892!16s%2Fg%2F11c6vj3bb2!19sChIJ-xv_RIhKzDERCMF7yH7z2H4?authuser=0&hl=en&rclk=1","5.0","2",
"Leong & Company","First Floor, 85, 87 & 89, Jalan C.M. Yusuff","Accountant","05-254 1731","4.5889863","101.0831643","https://www.google.com/maps/place/Leong+%26+Company/data=!4m7!3m6!1s0x31caec65358f4cb7:0x3a71bb4d5f781c8f!8m2!3d4.5889863!4d101.0831643!16s%2Fg%2F1hc4f1f9d!19sChIJt0yPNWXsyjERjxx4X027cTo?authuser=0&hl=en&rclk=1","3.0","2",
"LBCO Advisory Sdn Bhd (梁兄弟会计公司)","10a, Jalan Centrepoint 2","Accountant","05-254 2663","4.5845001","101.086001","https://www.google.com/maps/place/LBCO+Advisory+Sdn+Bhd+%28%E6%A2%81%E5%85%84%E5%BC%9F%E4%BC%9A%E8%AE%A1%E5%85%AC%E5%8F%B8%29/data=!4m7!3m6!1s0x31caec622e0bd5d5:0xf57db367593b7cfa!8m2!3d4.5845001!4d101.086001!16s%2Fg%2F1tdcp0ms!19sChIJ1dULLmLsyjER-nw7WWezffU?authuser=0&hl=en&rclk=1","5.0","14","https://lbco.my/"
"NCW & Co","5, Kledang Permai 12","Accountant","016-543 0055","4.5773663","101.0386846","https://www.google.com/maps/place/NCW+%26+Co/data=!4m7!3m6!1s0x31caebc34abd7361:0xd77f0f083eff62ff!8m2!3d4.5773663!4d101.0386846!16s%2Fg%2F1hc3d3146!19sChIJYXO9SsPryjER_2L_PggPf9c?authuser=0&hl=en&rclk=1",,,
"HTX Consulting (M) Sdn Bhd 商务咨询所有限公司","23, Jalan Taming Sari","Accountant","017-528 6060","4.8542052","100.7427171","https://www.google.com/maps/place/HTX+Consulting+%28M%29+Sdn+Bhd+%E5%95%86%E5%8A%A1%E5%92%A8%E8%AF%A2%E6%89%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8/data=!4m7!3m6!1s0x31caaf0efa2130cb:0x6150b1521c8d4ff4!8m2!3d4.8542052!4d100.7427171!16s%2Fg%2F11pr7mc166!19sChIJyzAh-g6vyjER9E-NHFKxUGE?authuser=0&hl=en&rclk=1",,,
"SY & Co. Chartered Accountants","Tiong Nam Industrial, 5, Jalan Tiong Emas 1, Park@Tebrau 3","Accountant","07-352 3353","1.5427671","103.7693832","https://www.google.com/maps/place/SY+%26+Co.+Chartered+Accountants/data=!4m7!3m6!1s0x31da6c2889b04853:0x897f0458dee02cd7!8m2!3d1.5427671!4d103.7693832!16s%2Fg%2F1hc1kysn9!19sChIJU0iwiShs2jER1yzg3lgEf4k?authuser=0&hl=en&rclk=1","4.0","4","http://www.sypro.com.my/"
